ID:0, y:18, x:37
ID:1, y:18, x:60
ID:4, y:36, x:124
ID:3, y:37, x:5
ID:2, y:37, x:28
ID:5, y:42, x:109
ID:6, y:51, x:112
ID:7, y:53, x:15
ID:8, y:72, x:122
ID:9, y:76, x:134
ID:10, y:88, x:129
ID:11, y:100, x:114
ID:12, y:107, x:107
ID:13, y:126, x:120
ID:14, y:134, x:46
ID:15, y:140, x:1
ID:16, y:147, x:26

ID:0, y:18, x:36
ID:1, y:18, x:61
ID:3, y:36, x:5
ID:4, y:36, x:123
ID:2, y:37, x:29
ID:5, y:42, x:110
ID:6, y:50, x:112
ID:7, y:53, x:16
ID:8, y:71, x:122
ID:9, y:76, x:133
ID:10, y:89, x:129
ID:11, y:100, x:113
ID:12, y:107, x:106
ID:13, y:126, x:119
ID:14, y:134, x:47
ID:15, y:139, x:1
ID:16, y:147, x:27

ID:1, y:18, x:62
ID:0, y:19, x:36
ID:3, y:35, x:5
ID:4, y:36, x:122
ID:2, y:37, x:30
ID:5, y:41, x:110
ID:6, y:50, x:111
ID:7, y:52, x:16
ID:8, y:70, x:122
ID:9, y:76, x:132
ID:10, y:90, x:129
ID:11, y:100, x:112
ID:12, y:108, x:106
ID:13, y:126, x:118
ID:14, y:133, x:47
ID:15, y:138, x:1
ID:16, y:147, x:28

ID:1, y:18, x:63
ID:0, y:19, x:37
ID:3, y:34, x:5
ID:4, y:36, x:121
ID:2, y:37, x:31
ID:5, y:40, x:110
ID:6, y:50, x:110
ID:7, y:51, x:16
ID:8, y:70, x:123
ID:9, y:75, x:132
ID:10, y:91, x:129
ID:11, y:100, x:111
ID:12, y:109, x:106
ID:13, y:126, x:117
ID:14, y:132, x:47
ID:15, y:137, x:1
ID:16, y:147, x:29

ID:1, y:18, x:64
ID:0, y:19, x:38
ID:3, y:33, x:5
ID:4, y:36, x:120
ID:2, y:37, x:32
ID:5, y:40, x:109
ID:7, y:50, x:16
ID:6, y:50, x:109
ID:8, y:69, x:123
ID:9, y:75, x:131
ID:10, y:92, x:129
ID:11, y:99, x:111
ID:12, y:109, x:107
ID:13, y:126, x:116
ID:14, y:131, x:47
ID:15, y:136, x:1
ID:16, y:147, x:30

ID:1, y:17, x:64
ID:0, y:19, x:39
ID:3, y:32, x:5
ID:4, y:35, x:120
ID:2, y:37, x:33
ID:5, y:40, x:108
ID:7, y:49, x:16
ID:6, y:50, x:108
ID:8, y:68, x:123
ID:9, y:75, x:130
ID:10, y:93, x:129
ID:11, y:98, x:111
ID:12, y:109, x:108
ID:13, y:127, x:116
ID:14, y:131, x:48
ID:15, y:135, x:1
ID:16, y:147, x:31

ID:1, y:16, x:64
ID:0, y:19, x:40
ID:3, y:31, x:5
ID:4, y:34, x:120
ID:2, y:38, x:33
ID:5, y:40, x:107
ID:7, y:48, x:16
ID:6, y:50, x:107
ID:8, y:68, x:124
ID:9, y:75, x:129
ID:10, y:94, x:129
ID:11, y:97, x:111
ID:12, y:110, x:108
ID:13, y:128, x:116
ID:14, y:131, x:49
ID:15, y:135, x:2
ID:16, y:147, x:32

ID:1, y:16, x:65
ID:0, y:20, x:40
ID:3, y:30, x:5
ID:4, y:33, x:120
ID:2, y:39, x:33
ID:5, y:39, x:107
ID:7, y:47, x:16
ID:6, y:49, x:107
ID:8, y:68, x:125
ID:9, y:75, x:128
ID:10, y:95, x:129
ID:11, y:97, x:110
ID:12, y:111, x:108
ID:13, y:128, x:115
ID:14, y:131, x:50
ID:15, y:135, x:3
ID:16, y:147, x:33

ID:1, y:16, x:66
ID:0, y:21, x:40
ID:3, y:29, x:5
ID:4, y:33, x:119
ID:5, y:38, x:107
ID:2, y:39, x:34
ID:7, y:46, x:16
ID:6, y:49, x:106
ID:8, y:68, x:126
ID:9, y:75, x:127
ID:10, y:96, x:129
ID:11, y:97, x:109
ID:12, y:112, x:108
ID:13, y:128, x:114
ID:14, y:131, x:51
ID:15, y:135, x:4
ID:16, y:147, x:34

ID:1, y:16, x:67
ID:0, y:22, x:40
ID:3, y:28, x:5
ID:4, y:33, x:118
ID:5, y:37, x:107
ID:2, y:39, x:35
ID:7, y:45, x:16
ID:6, y:49, x:105
ID:8, y:68, x:127
ID:9, y:75, x:126
ID:11, y:96, x:109
ID:10, y:97, x:129
ID:12, y:112, x:107
ID:13, y:129, x:114
ID:14, y:130, x:51
ID:15, y:135, x:5
ID:16, y:147, x:35

ID:1, y:15, x:67
ID:0, y:22, x:41
ID:3, y:28, x:6
ID:4, y:33, x:117
ID:5, y:36, x:107
ID:2, y:39, x:36
ID:7, y:44, x:16
ID:6, y:49, x:104
ID:8, y:68, x:128
ID:9, y:75, x:125
ID:11, y:95, x:109
ID:10, y:98, x:129
ID:12, y:112, x:106
ID:14, y:129, x:51
ID:13, y:130, x:114
ID:15, y:134, x:5
ID:16, y:147, x:36

ID:1, y:14, x:67
ID:0, y:22, x:42
ID:3, y:28, x:7
ID:4, y:32, x:117
ID:5, y:36, x:106
ID:2, y:39, x:37
ID:7, y:43, x:16
ID:6, y:49, x:103
ID:8, y:67, x:128
ID:9, y:75, x:124
ID:11, y:95, x:108
ID:10, y:99, x:129
ID:12, y:113, x:106
ID:14, y:129, x:52
ID:13, y:131, x:114
ID:15, y:133, x:5
ID:16, y:147, x:37

ID:1, y:13, x:67
ID:0, y:22, x:43
ID:3, y:28, x:8
ID:4, y:32, x:116
ID:5, y:36, x:105
ID:2, y:39, x:38
ID:7, y:43, x:17
ID:6, y:49, x:102
