Seiza:1, Coor:-5,-6,-6,-1
Seiza:2, Coor:-7,-4,-6,-1
Seiza:3, Coor:-7,7,7,-2
Seiza:2, Coor:-3,2,-5,8
Seiza:4, Coor:1,8,0,0
Seiza:2, Coor:6,4,7,-5
Seiza:2, Coor:-3,6,-6,3
Seiza:5, Coor:8,-4,8,7
Seiza:2, Coor:7,1,-3,2
Seiza:6, Coor:4,-6,3,-5
Seiza:7, Coor:-4,0,8,-5
Seiza:2, Coor:-6,2,-1,0
Seiza:2, Coor:4,0,-5,0
Seiza:2, Coor:-3,0,-3,2
Seiza:8, Coor:-1,-8,-6,-2
Seiza:2, Coor:1,7,2,6
Seiza:9, Coor:5,5,-7,-8
Seiza:10, Coor:4,5,-3,-5
Seiza:2, Coor:-3,8,-6,1
Seiza:11, Coor:-5,0,-5,-1
Seiza:12, Coor:7,2,-5,8
Seiza:13, Coor:-2,-4,1,3
Seiza:2, Coor:4,-2,-1,0
Seiza:14, Coor:-6,8,6,3
Seiza:2, Coor:5,-5,-2,-1
Seiza:2, Coor:6,-3,4,1
Seiza:2, Coor:1,5,0,-1
Seiza:15, Coor:-4,7,-6,5
Seiza:2, Coor:5,-4,-7,0
Seiza:2, Coor:-2,-8,-1,0
Seiza:2, Coor:4,-1,-5,-8
Seiza:16, Coor:-7,-6,-6,-8
Seiza:17, Coor:-8,0,8,-4
Seiza:18, Coor:-6,-1,-2,-8
Seiza:2, Coor:-6,0,6,-6
Seiza:19, Coor:6,4,2,-3
Seiza:2, Coor:7,0,0,5
Seiza:2, Coor:-5,0,2,-6
Seiza:2, Coor:-6,-3,-3,0
Seiza:20, Coor:3,-8,3,7
Seiza:2, Coor:1,3,0,-1
Seiza:2, Coor:0,-5,-7,0
Seiza:2, Coor:-7,0,3,0
Seiza:2, Coor:8,0,0,3
Seiza:18, Coor:-4,0,-6,-8
Seiza:21, Coor:5,-2,-4,2
Seiza:2, Coor:8,-2,-2,2
Seiza:2, Coor:-7,1,0,2
Seiza:2, Coor:5,3,8,1
Seiza:22, Coor:6,-6,-7,4
Seiza:23, Coor:2,-5,7,7
Seiza:2, Coor:-6,-3,-6,-1
Seiza:4, Coor:5,7,-1,2
Seiza:2, Coor:-2,-8,1,0
Seiza:2, Coor:-6,-3,1,8
Seiza:24, Coor:-8,0,-8,2
Seiza:2, Coor:2,5,0,-8
Seiza:2, Coor:2,3,0,4
Seiza:2, Coor:4,3,3,0
Seiza:25, Coor:6,5,3,-1
Seiza:2, Coor:7,-2,-2,1
Seiza:6, Coor:3,-5,0,-5
Seiza:2, Coor:0,-5,6,-4
Seiza:2, Coor:0,0,-2,-5
Seiza:2, Coor:5,2,7,-5
Seiza:26, Coor:4,3,1,-6
Seiza:2, Coor:-7,0,5,-7
Seiza:2, Coor:-3,-6,3,0
Seiza:2, Coor:2,0,-3,-1
Seiza:2, Coor:-2,0,4,2
Seiza:2, Coor:-5,-3,-4,3
Seiza:2, Coor:-2,8,-7,1
Seiza:27, Coor:2,-6,7,2
Seiza:28, Coor:-1,3,0,6
Seiza:29, Coor:-8,6,3,-8
Seiza:2, Coor:-3,1,0,5
Seiza:2, Coor:5,-1,2,5
Seiza:30, Coor:1,0,-8,5
Seiza:31, Coor:6,2,7,-2
Seiza:32, Coor:-5,2,-6,3
Seiza:2, Coor:0,-5,0,8
Seiza:2, Coor:-2,0,4,0
Seiza:33, Coor:8,8,-2,-1
Seiza:19, Coor:4,4,2,-4
Seiza:2, Coor:-5,5,-3,2
Seiza:2, Coor:4,0,-2,1
Seiza:34, Coor:7,-6,4,-7
Seiza:35, Coor:7,6,3,-4
Seiza:2, Coor:5,-2,-8,0
Seiza:2, Coor:-5,6,-7,0
Seiza:2, Coor:-7,0,0,3
Seiza:36, Coor:-4,-4,-4,5
Seiza:2, Coor:-1,-7,5,3
Seiza:37, Coor:7,-7,-3,-6
Seiza:2, Coor:-7,2,4,-5
Seiza:38, Coor:5,6,6,0
Seiza:30, Coor:1,2,-8,7
Seiza:39, Coor:-8,4,-5,-6
Seiza:40, Coor:5,-6,0,5
Seiza:2, Coor:-7,-3,-2,2
Seiza:2, Coor:1,0,-5,-8
Seiza:18, Coor:-5,0,-4,-8
Seiza:2, Coor:-5,-7,0,5
Seiza:2, Coor:0,-1,3,-3
Seiza:2, Coor:-8,1,-6,0
Seiza:2, Coor:7,8,6,-3
Seiza:2, Coor:-2,0,2,0
Seiza:41, Coor:0,8,4,4
Seiza:2, Coor:-4,0,7,5
Seiza:2, Coor:-1,7,0,6
Seiza:18, Coor:-8,-2,-1,-7
Seiza:42, Coor:6,-3,3,-6
Seiza:43, Coor:-4,5,-8,2
Seiza:44, Coor:-8,8,0,-6
Seiza:45, Coor:7,-2,4,6
Seiza:2, Coor:-2,8,-5,2
Seiza:2, Coor:4,1,-5,0
Seiza:2, Coor:8,-8,-6,-2
Seiza:46, Coor:-6,-2,-2,5
Seiza:47, Coor:-5,7,7,8
Seiza:2, Coor:6,-3,2,0
Seiza:48, Coor:5,-4,8,-1
Seiza:49, Coor:-7,-6,3,-7
Seiza:2, Coor:8,6,-4,0
